1231,410103,1
1389,410103,2
1398,410103,1
1510,410103,2
1671,410103,6
2056,410103,1
2136,410103,2
1389,350202,2
1671,350202,2
2056,350202,1
2136,350202,2
1231,410103,1
1388,410103,1
1671,410103,5
2056,410103,1
2136,410103,1
2137,410103,2
2140,410103,2
1388,410103,1
1393,410103,4
1671,410103,5
2133,410103,2
2136,350202,1
1231,350202,1
1388,410103,1
1671,410103,7
2136,410103,1
2137,350202,1
2137,410103,3
2140,410103,2
1231,350202,2
1388,350202,1
1397,410103,1
1671,410103,6
2056,350202,1
2136,410103,2
2137,410103,1
1388,410103,1
1397,410103,1
1671,410103,5
2137,410103,1
2140,410103,1
1231,350202,1
1388,410103,1
1389,350202,1
1397,410103,1
1671,410103,4
2056,350202,1
2136,410103,2
2137,410103,2
2140,410103,5
1231,350202,1
1231,410103,1
1389,350202,1
1393,410103,2
1397,410103,1
1671,410103,3
2056,350202,1
2137,410103,1
2140,410103,2
1231,350202,1
1388,410103,1
1389,410103,1
1393,410103,1
1397,410103,1
1671,350202,4
1671,410103,1
2056,350202,1
2056,410103,1
2137,410103,1
2140,410103,2
2373,410103,1
2376,410103,1
1231,350202,1
1388,410103,1
1389,350202,1
1397,410103,1
1398,410103,1
1671,410103,4
2136,410103,2
2137,410103,1
2140,410103,2
2373,410103,1
1231,350202,1
1389,350202,1
1389,410103,1
1393,410103,3
1397,410103,1
1671,410103,3
2137,410103,1
2140,410103,4
2373,410103,1
2512,410103,2
1231,410103,2
1397,410103,1
1671,410103,9
2056,410103,1
2136,410103,1
2137,410103,1
2140,410103,4
2373,410103,1
1389,410103,1
1397,410103,3
1629,410103,1
1671,410103,2
2135,410103,1
2136,410103,1
2140,410103,4